Date,AAPL,AMZN,BAC,GOOGL,JNJ,JPM,META,MSFT,TSLA,XOM,^GSPC
2018-01-03,,,,,,,,,,,
2018-01-04,,,,,,,,,,,
2018-01-05,,,,,,,,,,,
2018-01-08,,,,,,,,,,,
2018-01-09,,,,,,,,,,,
2018-01-10,,,,,,,,,,,
2018-01-11,,,,,,,,,,,
2018-01-12,,,,,,,,,,,
2018-01-16,,,,,,,,,,,
2018-01-17,,,,,,,,,,,
2018-01-18,,,,,,,,,,,
2018-01-19,,,,,,,,,,,
2018-01-22,,,,,,,,,,,
2018-01-23,,,,,,,,,,,
2018-01-24,,,,,,,,,,,
2018-01-25,,,,,,,,,,,
2018-01-26,,,,,,,,,,,
2018-01-29,,,,,,,,,,,
2018-01-30,,,,,,,,,,,
2018-01-31,,,,,,,,,,,
2018-02-01,,,,,,,,,,,
2018-02-02,,,,,,,,,,,
2018-02-05,,,,,,,,,,,
2018-02-06,,,,,,,,,,,
2018-02-07,,,,,,,,,,,
2018-02-08,,,,,,,,,,,
2018-02-09,,,,,,,,,,,
2018-02-12,,,,,,,,,,,
2018-02-13,,,,,,,,,,,
2018-02-14,0.018010339353921438,0.020522750314704512,0.018130749777431936,0.020540186955099883,0.01808030746326579,0.016851853927863345,0.022311383502605815,0.01975883220154831,0.02564529401557839,0.017195869955388396,0.013513662870896207
2018-02-15,0.01904218660746833,0.020491550956652876,0.0181150901362177,0.02054962144386435,0.018141281109315004,0.016853451446593663,0.022056596789009807,0.020032125146182092,0.026368272994335577,0.016655657353678386,0.013642921507735356
2018-02-16,0.01903441278958265,0.020682879216890975,0.01809516883455858,0.02054903720855702,0.018396738274522206,0.01678895361805188,0.02219772390549983,0.020071387490010986,0.026302904124016355,0.016696729913451783,0.013624143707057315
2018-02-20,0.018922290678351297,0.02064543734983624,0.018096559881311102,0.020447587045383107,0.018506228090711667,0.01672161822919445,0.022045328690898765,0.020007854759816503,0.026302581289173958,0.016727716629701277,0.013601678682254299
2018-02-21,0.01892780239385112,0.020598996193102764,0.018036484692402804,0.020508859896497107,0.01851025146489703,0.01672649747311697,0.022099416060773418,0.020199035311976893,0.023847464912460297,0.01669557664919421,0.013628517917028883
2018-02-22,0.018996276536261607,0.020612101979236144,0.01807817804794073,0.020517386458262784,0.018182943049424746,0.016730241512338557,0.022146727496126818,0.020196603838390788,0.024788623843596695,0.01700162284304338,0.013627093926954135
2018-02-23,0.019261809359757305,0.020608406605430785,0.018101587526759128,0.020726589525226203,0.018528649449669605,0.016983636932751605,0.022625511073188873,0.020613123208362696,0.024950482672200486,0.017626302196916674,0.013954208886945348
2018-02-26,0.019559033142605365,0.020554929656113295,0.018200662041493506,0.0208660649808262,0.01854695287262944,0.017078549947613406,0.02269513798888136,0.020727626213636743,0.02503397305249256,0.017846190180887112,0.014061131631550546
2018-02-27,0.019489575519704337,0.020440127950842497,0.017986145689511127,0.021098771558541757,0.018459434425120397,0.01705652370114563,0.02133836658570044,0.02073778247864751,0.025271279911439536,0.017932536408403515,0.014196878601500498
2018-02-28,0.01946584543763387,0.02043541692334363,0.018050046649024834,0.021208894018474058,0.018441819124661356,0.01732848731726809,0.021562741712042543,0.02055908238487471,0.025578001110452084,0.018270559956028033,0.014320669191408298
2018-03-01,0.01950058549863093,0.0205625936675828,0.018299817795221905,0.02179646153186865,0.01865572150628478,0.017636680904012894,0.0216886388656211,0.020384882443172086,0.026108430047449088,0.01802258166406813,0.014368960519910155
2018-03-02,0.019547492374743954,0.020530954602282603,0.01823792184936487,0.021941802466950478,0.018888400196440728,0.017632515897333105,0.021573572725292495,0.020383420617978484,0.02620918039376761,0.018103134875457578,0.014419004107732456
2018-03-05,0.019544638189543932,0.02060434289039211,0.018408746349110765,0.021989545533732394,0.018965168360072376,0.01784300488693511,0.021883137243119046,0.020399142613035607,0.02602975005800794,0.018282508496898914,0.014558102909257797
2018-03-06,0.01948629984610284,0.02028718410098466,0.018370357755571026,0.021729135864598893,0.01893772748294758,0.017721741410638616,0.021474407261861596,0.020182423014623276,0.02612557487157119,0.01802140506756282,0.014474715468912228
2018-03-07,0.019561621699702002,0.019884885013368388,0.018372605849854368,0.021781943179305718,0.01754068164469583,0.017735306887944283,0.02148814776568483,0.020198683103656436,0.026244214083919505,0.018391147842340326,0.01446113467564129
2018-03-08,0.01942809501059391,0.01982900502708418,0.018349269194966395,0.021937091177768472,0.01816168965668709,0.01757630307339443,0.02136518933272789,0.020217791115226123,0.026073040654613678,0.018341725459658117,0.014499440067550313
2018-03-09,0.019320498442648285,0.019875844494349787,0.018573809254167222,0.02248289189913165,0.01805912905926464,0.01833745172689359,0.02155404003393397,0.02056647030593859,0.025741140360902793,0.018450486808199894,0.014882585075337676
2018-03-12,0.01937291874661602,0.019784676795498366,0.018575034112868646,0.022481338526122493,0.01801842722978932,0.018328821694575607,0.021399075471965512,0.020318061919635134,0.02753492090436764,0.01849983102977937,0.014697336731979836
2018-03-13,0.01901866603552123,0.01983760303290651,0.018785151537818064,0.022836221536834247,0.018164969421128864,0.018468124145982596,0.021236515242258006,0.020854600598463034,0.027363558328261126,0.01848361554274823,0.014692536575627933
2018-03-14,0.019064416839141046,0.01974391515275321,0.018681752270835322,0.022863097862078532,0.01828584355941885,0.018503179097015664,0.021341957343473158,0.020746534989852457,0.028514812688522073,0.018460551980601342,0.014601761178532912
2018-03-15,0.019065442245537533,0.019777949825678348,0.01867303493618878,0.022848645883246754,0.01755024801695177,0.018486769845761825,0.02134284584403766,0.020272530056953137,0.02808367411767044,0.018589728132358627,0.014599517545229073
2018-03-16,0.019095171882846755,0.017906741463812742,0.018454355795421543,0.022976334768752035,0.01738074178947177,0.018385667114460942,0.02045900120169548,0.02023443738782959,0.028066900537855436,0.01819053817245418,0.014607303390190023
2018-03-19,0.0173137536025811,0.017708648005369393,0.01821402985801786,0.021461712498696106,0.017742255429819147,0.01797337665207711,0.0239096159356196,0.019903539600710302,0.028250373296749752,0.015970008530440342,0.014315651039325814
2018-03-20,0.01648285447491287,0.0172339240451979,0.015030914603544474,0.019151793518384537,0.014738581871778067,0.015384088622181819,0.02275869235690171,0.018203886023613527,0.02777377875529002,0.012200887210715725,0.012011415664911656
2018-03-21,0.015636866612306614,0.016114498784814895,0.014048306514973746,0.018797844880422715,0.014603011466209645,0.014430867688653098,0.022364828891598534,0.017014316584686925,0.02803684097168338,0.012201041394868703,0.011609332218627217
2018-03-22,0.015309332184514343,0.01638851672498531,0.0161020139030494,0.01944243434469859,0.015561447296011865,0.016407573551881823,0.022321350193519968,0.017531602819158644,0.027541633485165324,0.01233359463396495,0.012494641893170327
2018-03-23,0.01502695837117178,0.014914362097980461,0.01576395846077833,0.01806735895643439,0.014175378026492203,0.014991686976489907,0.021406701765786157,0.015512132502267762,0.022593873108551772,0.012259321705136666,0.01101587353650373
2018-03-26,0.01698255208287515,0.01613293383651524,0.017263850315103347,0.017386933946167405,0.013820704962987564,0.015590907406606198,0.02076496374119208,0.019339859462503956,0.022510942146697452,0.012543611211287647,0.011759504040405834
2018-03-27,0.016369092223376177,0.017030613271430316,0.017464737555344625,0.019234834823645203,0.013774456499517904,0.015716267245864363,0.02243995748446966,0.021245290801367885,0.02708373290582344,0.012434302612438332,0.01192113076482992
2018-03-28,0.01642910674938138,0.01875937162303875,0.017458519673686352,0.019233650645486926,0.013777229157351589,0.015656754207797493,0.02236043305321119,0.02119817289473398,0.029824257769569453,0.012593913992732159,0.01191336323858891
2018-03-29,0.016145534856777312,0.018271764724563322,0.01717197123405152,0.01986216253393935,0.01381444065661538,0.015424310413960172,0.02283349404075925,0.021352913292119722,0.030680568428680922,0.013448088286676192,0.011928269381076278
2018-04-02,0.014932417159240092,0.02063861650613231,0.01750427332873792,0.019970861994379918,0.014538619074977928,0.01572553959662382,0.023213307966372533,0.0217215099070149,0.03073511446766896,0.01383924343867762,0.012321657210479158
2018-04-03,0.015071424017350768,0.020814056883550685,0.017629360008286084,0.019998316778130902,0.015376223480381587,0.015959107025381964,0.023202152194991384,0.021860506290495574,0.03302812495113695,0.014580734023276686,0.01259521223917799
2018-04-04,0.015484585010456534,0.02080765366815205,0.017769165542610117,0.020065451321091343,0.0153600750660088,0.01624485745189967,0.023197312679242396,0.022473788287206052,0.03593659497255596,0.014468238007858937,0.012783902503298717
2018-04-05,0.015511004658331629,0.021435573138263216,0.018029195353958388,0.019973775396276375,0.015299474098959707,0.016423879591891347,0.023741078757054366,0.022334814969712728,0.0380539900295793,0.014585825552252577,0.012828736144102005
2018-04-06,0.016149265025008405,0.02220257616222067,0.018439975534056546,0.020295209299491954,0.015754839564097473,0.017020329665795093,0.023733508446160633,0.02274917327993425,0.03739502189413075,0.014666544573207747,0.013420309231002183
2018-04-09,0.015919622224439073,0.022099059439444152,0.018383743873093605,0.020120145645508573,0.015591486864194497,0.01672612308042266,0.02320484335600158,0.02226909100701567,0.03749874771334644,0.014055398711928608,0.013057694676982461
